condition,bin_low,bin_high,is_final_bin_inclusive_of_1,n,n_correct,accuracy_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct
no_retrieval,0.333,0.5,False,2,1,50.0,9.5,90.5
no_retrieval,0.5,0.6,False,12,5,41.7,19.3,68.0
no_retrieval,0.6,0.7,False,12,4,33.3,13.8,60.9
no_retrieval,0.7,0.8,False,25,12,48.0,30.0,66.5
no_retrieval,0.8,0.9,False,35,15,42.9,28.0,59.1
no_retrieval,0.9,1.0,True,214,129,60.3,53.6,66.6
bm25_roberta,0.333,0.5,False,1,1,100.0,20.7,100.0
bm25_roberta,0.5,0.6,False,32,17,53.1,36.4,69.1
bm25_roberta,0.6,0.7,False,35,15,42.9,28.0,59.1
bm25_roberta,0.7,0.8,False,48,18,37.5,25.2,51.6
bm25_roberta,0.8,0.9,False,33,13,39.4,24.7,56.3
bm25_roberta,0.9,1.0,True,151,104,68.9,61.1,75.7
dense_roberta,0.333,0.5,False,3,1,33.3,6.1,79.2
dense_roberta,0.5,0.6,False,26,11,42.3,25.5,61.1
dense_roberta,0.6,0.7,False,28,14,50.0,32.6,67.4
dense_roberta,0.7,0.8,False,45,18,40.0,27.0,54.5
dense_roberta,0.8,0.9,False,31,15,48.4,32.0,65.2
dense_roberta,0.9,1.0,True,167,119,71.3,64.0,77.6
dense_reranked_roberta,0.333,0.5,False,4,1,25.0,4.6,69.9
dense_reranked_roberta,0.5,0.6,False,27,10,37.0,21.5,55.8
dense_reranked_roberta,0.6,0.7,False,22,12,54.5,34.7,73.1
dense_reranked_roberta,0.7,0.8,False,31,14,45.2,29.2,62.2
dense_reranked_roberta,0.8,0.9,False,22,9,40.9,23.3,61.3
dense_reranked_roberta,0.9,1.0,True,194,116,59.8,52.8,66.4
