condition,bin_low,bin_high,is_final_bin_inclusive_of_1,n,n_correct,accuracy_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct
no_retrieval,0.333,0.5,False,2,0,0.0,0.0,65.8
no_retrieval,0.5,0.6,False,12,7,58.3,32.0,80.7
no_retrieval,0.6,0.7,False,12,5,41.7,19.3,68.0
no_retrieval,0.7,0.8,False,21,9,42.9,24.5,63.5
no_retrieval,0.8,0.9,False,25,13,52.0,33.5,70.0
no_retrieval,0.9,1.0,True,207,140,67.6,61.0,73.6
bm25_roberta,0.333,0.5,False,3,0,0.0,0.0,56.2
bm25_roberta,0.5,0.6,False,39,18,46.2,31.6,61.4
bm25_roberta,0.6,0.7,False,32,16,50.0,33.6,66.4
bm25_roberta,0.7,0.8,False,46,21,45.7,32.2,59.8
bm25_roberta,0.8,0.9,False,31,18,58.1,40.8,73.6
bm25_roberta,0.9,1.0,True,128,78,60.9,52.3,69.0
dense_roberta,0.333,0.5,False,0,0,,,
dense_roberta,0.5,0.6,False,29,14,48.3,31.4,65.6
dense_roberta,0.6,0.7,False,41,19,46.3,32.1,61.3
dense_roberta,0.7,0.8,False,42,19,45.2,31.2,60.1
dense_roberta,0.8,0.9,False,28,16,57.1,39.1,73.5
dense_roberta,0.9,1.0,True,139,89,64.0,55.8,71.5
dense_reranked_roberta,0.333,0.5,False,3,1,33.3,6.1,79.2
dense_reranked_roberta,0.5,0.6,False,39,16,41.0,27.1,56.6
dense_reranked_roberta,0.6,0.7,False,24,14,58.3,38.8,75.5
dense_reranked_roberta,0.7,0.8,False,52,24,46.2,33.3,59.5
dense_reranked_roberta,0.8,0.9,False,16,3,18.8,6.6,43.0
dense_reranked_roberta,0.9,1.0,True,145,86,59.3,51.2,67.0
