condition,k,n,accuracy_pct,mean_confidence_all,mean_confidence_correct,mean_confidence_wrong,separation_correct_minus_wrong,auroc_confidence_detects_correct,global_confidence_accuracy_gap_pp
no_retrieval,1,300,55.3,0.9101,0.9283,0.8876,0.0407,0.6469,35.7
no_retrieval,3,300,55.3,0.9101,0.9283,0.8876,0.0407,0.6469,35.7
no_retrieval,5,300,55.3,0.9101,0.9283,0.8876,0.0407,0.6469,35.7
no_retrieval,10,300,55.3,0.9101,0.9283,0.8876,0.0407,0.6469,35.7
bm25_roberta,1,300,62.7,0.8751,0.9127,0.812,0.1007,0.6864,24.8
bm25_roberta,3,300,56.0,0.8386,0.8686,0.8006,0.068,0.6531,27.9
bm25_roberta,5,300,52.7,0.8499,0.8789,0.8175,0.0614,0.6429,32.3
bm25_roberta,10,300,50.3,0.8339,0.8643,0.8031,0.0612,0.6282,33.1
dense_roberta,1,300,64.0,0.8598,0.8967,0.7943,0.1024,0.7036,22.0
dense_roberta,3,300,59.3,0.8527,0.885,0.8056,0.0794,0.6947,26.0
dense_roberta,5,300,56.0,0.853,0.8843,0.8132,0.0711,0.6692,29.3
dense_roberta,10,300,52.7,0.8443,0.8917,0.7915,0.1002,0.6873,31.7
dense_reranked_roberta,1,300,48.0,0.9274,0.9275,0.9272,0.0003,0.5391,44.7
dense_reranked_roberta,3,300,54.0,0.874,0.8976,0.8462,0.0514,0.6061,33.4
dense_reranked_roberta,5,300,57.7,0.8624,0.8807,0.8374,0.0433,0.5982,28.5
dense_reranked_roberta,10,300,52.0,0.8404,0.8815,0.7958,0.0857,0.6691,32.0
