condition,k,n,accuracy_pct,mean_confidence_all,mean_confidence_correct,mean_confidence_wrong,separation_correct_minus_wrong,auroc_confidence_detects_correct,global_confidence_accuracy_gap_pp
no_retrieval,1,279,62.4,0.9098,0.9287,0.8784,0.0503,0.642,28.6
no_retrieval,3,279,62.4,0.9098,0.9287,0.8784,0.0503,0.642,28.6
no_retrieval,5,279,62.4,0.9098,0.9287,0.8784,0.0503,0.642,28.6
no_retrieval,10,279,62.4,0.9098,0.9287,0.8784,0.0503,0.642,28.6
bm25_roberta,1,279,54.5,0.8594,0.8693,0.8474,0.0219,0.5411,31.4
bm25_roberta,3,279,54.1,0.8168,0.841,0.7883,0.0527,0.5964,27.6
bm25_roberta,5,279,54.1,0.8186,0.8374,0.7965,0.0409,0.5902,27.8
bm25_roberta,10,279,52.3,0.809,0.8411,0.7738,0.0673,0.6232,28.6
dense_roberta,1,279,55.6,0.8689,0.8786,0.8569,0.0217,0.5281,31.3
dense_roberta,3,279,56.3,0.8342,0.8581,0.8034,0.0547,0.6169,27.1
dense_roberta,5,279,55.2,0.8247,0.8512,0.792,0.0592,0.6136,27.3
dense_roberta,10,279,52.7,0.81,0.844,0.7721,0.0719,0.6335,28.3
dense_reranked_roberta,1,279,43.0,0.9004,0.8972,0.9029,-0.0057,0.4647,47.0
dense_reranked_roberta,3,279,51.6,0.8294,0.8481,0.8095,0.0386,0.5658,31.3
dense_reranked_roberta,5,279,53.0,0.8181,0.8335,0.8007,0.0328,0.5689,28.8
dense_reranked_roberta,10,279,54.8,0.8124,0.8359,0.7839,0.052,0.606,26.4
