condition,true_label,n,n_correct,accuracy_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct,mean_confidence_all,mean_confidence_correct,mean_confidence_wrong,auroc_confidence_detects_correct
no_retrieval,SUPPORT,116,78,67.2,58.3,75.1,0.8836,0.9108,0.8277,0.7149
no_retrieval,CONTRADICT,90,41,45.6,35.7,55.8,0.9079,0.8946,0.9191,0.3549
no_retrieval,NEI,73,55,75.3,64.4,83.8,0.9538,0.9797,0.8749,0.8848
bm25_roberta,SUPPORT,116,82,70.7,61.8,78.2,0.8404,0.8809,0.7426,0.6804
bm25_roberta,CONTRADICT,90,40,44.4,34.6,54.7,0.747,0.6668,0.8112,0.2535
bm25_roberta,NEI,73,29,39.7,29.3,51.2,0.8653,0.9684,0.7974,0.9067
dense_roberta,SUPPORT,116,78,67.2,58.3,75.1,0.8589,0.889,0.7971,0.6275
dense_roberta,CONTRADICT,90,39,43.3,33.6,53.6,0.7568,0.68,0.8155,0.2695
dense_roberta,NEI,73,40,54.8,43.4,65.7,0.8903,0.9714,0.792,0.9258
dense_reranked_roberta,SUPPORT,116,68,58.6,49.5,67.2,0.851,0.8809,0.8086,0.5386
dense_reranked_roberta,CONTRADICT,90,34,37.8,28.5,48.1,0.7644,0.6544,0.8312,0.2216
dense_reranked_roberta,NEI,73,42,57.5,46.1,68.2,0.8753,0.9519,0.7715,0.8955
