condition,threshold,is_primary_threshold,pct_flagged,flagged_error_rate_pct,kept_error_rate_pct,error_rate_lift_flagged_over_kept,pct_of_all_errors_caught,retained_coverage_pct,retained_accuracy_pct
no_retrieval,0.5,False,0.7,50.0,44.6,1.12,0.7,99.3,55.4
no_retrieval,0.6,False,4.7,57.1,44.1,1.3,6.0,95.3,55.9
no_retrieval,0.7,True,8.7,61.5,43.1,1.43,11.9,91.3,56.9
no_retrieval,0.8,False,17.0,56.9,42.2,1.35,21.6,83.0,57.8
no_retrieval,0.9,False,28.7,57.0,39.7,1.43,36.6,71.3,60.3
bm25_roberta,0.5,False,0.3,0.0,44.1,0.0,0.0,99.7,55.9
bm25_roberta,0.6,False,11.0,45.5,43.8,1.04,11.4,89.0,56.2
bm25_roberta,0.7,True,22.7,51.5,41.8,1.23,26.5,77.3,58.2
bm25_roberta,0.8,False,38.7,56.0,36.4,1.54,49.2,61.3,63.6
bm25_roberta,0.9,False,49.7,57.0,31.1,1.83,64.4,50.3,68.9
dense_roberta,0.5,False,1.0,66.7,40.4,1.65,1.6,99.0,59.6
dense_roberta,0.6,False,9.7,58.6,38.7,1.51,13.9,90.3,61.3
dense_roberta,0.7,True,19.0,54.4,37.4,1.45,25.4,81.0,62.6
dense_roberta,0.8,False,34.0,56.9,32.3,1.76,47.5,66.0,67.7
dense_roberta,0.9,False,44.3,55.6,28.7,1.94,60.7,55.7,71.3
dense_reranked_roberta,0.5,False,1.3,75.0,45.6,1.64,2.2,98.7,54.4
dense_reranked_roberta,0.6,False,10.3,64.5,43.9,1.47,14.5,89.7,56.1
dense_reranked_roberta,0.7,True,17.7,56.6,43.7,1.29,21.7,82.3,56.3
dense_reranked_roberta,0.8,False,28.0,56.0,42.1,1.33,34.1,72.0,57.9
dense_reranked_roberta,0.9,False,35.3,56.6,40.2,1.41,43.5,64.7,59.8
