condition,threshold,is_primary_threshold,pct_flagged,flagged_error_rate_pct,kept_error_rate_pct,error_rate_lift_flagged_over_kept,pct_of_all_errors_caught,retained_coverage_pct,retained_accuracy_pct
no_retrieval,0.5,False,0.7,100.0,37.2,2.69,1.9,99.3,62.8
no_retrieval,0.6,False,5.0,50.0,37.0,1.35,6.7,95.0,63.0
no_retrieval,0.7,True,9.3,53.8,36.0,1.5,13.3,90.7,64.0
no_retrieval,0.8,False,16.8,55.3,34.1,1.62,24.8,83.2,65.9
no_retrieval,0.9,False,25.8,52.8,32.4,1.63,36.2,74.2,67.6
bm25_roberta,0.5,False,1.1,100.0,45.3,2.21,2.3,98.9,54.7
bm25_roberta,0.6,False,15.1,57.1,43.9,1.3,18.8,84.9,56.1
bm25_roberta,0.7,True,26.5,54.1,42.9,1.26,31.2,73.5,57.1
bm25_roberta,0.8,False,43.0,54.2,39.6,1.37,50.8,57.0,60.4
bm25_roberta,0.9,False,54.1,51.7,39.1,1.32,60.9,45.9,60.9
dense_roberta,0.5,False,0.0,,43.7,,0.0,100.0,56.3
dense_roberta,0.6,False,10.4,51.7,42.8,1.21,12.3,89.6,57.2
dense_roberta,0.7,True,25.1,52.9,40.7,1.3,30.3,74.9,59.3
dense_roberta,0.8,False,40.1,53.6,37.1,1.44,49.2,59.9,62.9
dense_roberta,0.9,False,50.2,51.4,36.0,1.43,59.0,49.8,64.0
dense_reranked_roberta,0.5,False,1.1,66.7,48.2,1.38,1.5,98.9,51.8
dense_reranked_roberta,0.6,False,15.1,59.5,46.4,1.28,18.5,84.9,53.6
dense_reranked_roberta,0.7,True,23.7,53.0,46.9,1.13,25.9,76.3,53.1
dense_reranked_roberta,0.8,False,42.3,53.4,44.7,1.19,46.7,57.7,55.3
dense_reranked_roberta,0.9,False,48.0,56.7,40.7,1.39,56.3,52.0,59.3
