dataset,condition,true_label,auroc
scifact,no_retrieval,SUPPORT,0.7081
scifact,no_retrieval,CONTRADICT,0.1326
scifact,no_retrieval,NEI,0.8303
scifact,bm25_roberta,SUPPORT,0.7067
scifact,bm25_roberta,CONTRADICT,0.1696
scifact,bm25_roberta,NEI,0.8674
scifact,dense_roberta,SUPPORT,0.7249
scifact,dense_roberta,CONTRADICT,0.1612
scifact,dense_roberta,NEI,0.9131
scifact,dense_reranked_roberta,SUPPORT,0.3559
scifact,dense_reranked_roberta,CONTRADICT,0.16
scifact,dense_reranked_roberta,NEI,0.9354
scifact_open,no_retrieval,SUPPORT,0.7149
scifact_open,no_retrieval,CONTRADICT,0.3549
scifact_open,no_retrieval,NEI,0.8848
scifact_open,bm25_roberta,SUPPORT,0.6804
scifact_open,bm25_roberta,CONTRADICT,0.2535
scifact_open,bm25_roberta,NEI,0.9067
scifact_open,dense_roberta,SUPPORT,0.6275
scifact_open,dense_roberta,CONTRADICT,0.2695
scifact_open,dense_roberta,NEI,0.9258
scifact_open,dense_reranked_roberta,SUPPORT,0.5386
scifact_open,dense_reranked_roberta,CONTRADICT,0.2216
scifact_open,dense_reranked_roberta,NEI,0.8955
